Name,Price,Rating
 Off on Exchange,"₹15,500",
 Off on Exchange,"₹12,000",
Only few left,"₹64,99038% off",
 Off on Exchange,"₹37,050",
Only 5 left,"₹55,99912% off",
 Off on Exchange,"₹17,000",
Only 5 left,"₹54,99021% off",
Only 2 left,"₹27,99046% off",
 Off on Exchange,"₹42,600",
 Off on Exchange,"₹28,800",
 Off on Exchange,"₹15,000",
 Off on Exchange,"₹12,000",
Only few left,"₹39,99037% off",
 Off on Exchange,"₹29,450",
 Off on Exchange,"₹37,050",
 Off on Exchange,"₹32,950",
 Off on Exchange,"₹42,600",
 Off on Exchange,"₹14,000",
Only 2 left,"₹39,99038% off",
 Off on Exchange,"₹42,600",
 Off on Exchange,"₹42,600",
 Off on Exchange,"₹37,050",
 Off on Exchange,"₹29,450",
 Off on Exchange,"₹42,600",
